DateKey,User number,Product Name,Quantity,Regular price
20210519,104002313,Membership_2M,1,558000
20210518,107000624,Membership_6M,1,1600000
20210518,107000625,Membership_6M,1,1600000
20210518,107000626,Membership_6M,1,1600000
20210517,105004342,Membership_2M,1,558000
20210517,106000907,Membership_1M,2,279000
20210517,106000910,Membership_1M,2,279000
20210517,107000623,Membership_1M,1,279000
20210516,105003777,Membership_2M,1,558000
20210515,104005473,Membership_2M,1,558000
20210515,104005474,Membership_2M,1,558000
20210515,105003073,Membership_2M,1,558000
20210515,107000619,Membership_1M,1,279000
20210514,104000796,Membership_2M,1,558000
20210514,105003369,Membership_2M,1,558000
20210514,107000620,Membership_6M,1,1600000
20210513,101012800,Membership_2M,1,558000
20210513,105004133,Membership_2M,1,558000
20210513,105004134,Membership_2M,1,558000
20210513,107000614,Membership_1M,1,279000
20210512,104004747,Membership_1M,1,279000
20210512,104004795,Membership_2M,1,558000
20210512,107000610,Membership_1M,1,279000
20210512,107000611,Membership_1M,1,279000
20210512,107000608,Membership_6M,1,1600000
20210511,104005472,Membership_2M,1,558000
20210511,105003200,Membership_1M,2,279000
20210511,106000020,Membership_1M,1,279000
20210511,107000607,Membership_1M,3,279000
20210511,107000606,Membership_6M,1,1600000
20210509,107000600,Membership_1M,1,279000
20210509,107000601,Membership_1M,1,279000
20210509,107000600,Membership_2M,1,558000
20210509,107000601,Membership_2M,1,558000
20210508,105003263,Membership_1M,1,279000
20210508,107000597,Membership_6M,1,1600000
20210507,101009619,Star Kombucha 250ml,1,30000
20210507,101012427,Star Kombucha 250ml,2,30000
20210507,101009619,Holland Water,37,10000
20210507,101009619,Water - Aquafina 500ml,26,10000
20210507,101009619,Water - Revive Organe 500ml,39,10000
20210507,101009619,Water - Revive White 500ml,35,10000
20210507,101012427,Holland Water,14,10000
20210507,101012427,Water - Aquafina 500ml,32,10000
20210507,101012427,Water - Revive Organe 500ml,46,10000
20210507,101012427,Water - Revive White 500ml,46,10000
20210507,101009619,Fitto,2,30000
20210507,101009619,Fitto Superfit,1,35000
20210507,101012427,Fitto,2,30000
20210507,104004698,Lock,1,50000
20210507,101000731,JoiningFee_1M,1,0
20210507,101012290,JoiningFee_1M,1,0
20210507,101000731,Membership_1M,2,279000
20210507,101012290,Membership_1M,1,279000
20210507,104000676,Membership_1M,1,279000
20210507,104000997,Membership_1M,1,279000
20210507,104002840,Membership_1M,1,279000
20210507,104003027,Membership_1M,1,279000
20210507,104004736,Membership_1M,1,279000
20210507,104004788,Membership_1M,1,279000
20210507,104004913,Membership_1M,2,279000
20210507,105002660,Membership_1M,1,279000
20210507,101012831,JoiningFee_1M,1,0
20210507,101001179,Membership_1M,1,279000
20210507,101002724,Membership_1M,1,279000
20210507,101008629,Membership_1M,1,279000
20210507,101009384,Membership_1M,1,279000
20210507,101012496,Membership_1M,1,279000
20210507,101012831,Membership_1M,1,279000
20210507,103001295,Membership_1M,1,279000
20210507,103001324,Membership_1M,1,279000
20210507,102002587,Membership_1M,1,279000
20210507,101008805,Membership_1M,1,279000
20210507,105000045,Membership_1M,1,279000
20210507,105000459,Membership_1M,1,279000
20210507,105002542,Membership_1M,1,279000
20210507,105002600,Membership_1M,2,279000
20210507,105003120,Membership_1M,1,279000
20210507,105003121,Membership_1M,1,279000
20210507,105003457,Membership_1M,2,279000
20210507,105003527,Membership_1M,1,279000
20210507,105003979,Membership_1M,1,279000
20210507,105004001,Membership_1M,1,279000
20210507,105004060,Membership_1M,1,279000
20210507,101003970,Membership_6M,1,1600000
20210507,106000083,Membership_1M,1,279000
20210507,106000251,Membership_1M,1,279000
20210507,106000411,Membership_1M,1,279000
20210507,106000571,Membership_6M,1,1600000
20210507,104005252,Membership_1M,1,279000
20210507,107000592,Membership_1M,1,279000
20210507,107000595,Membership_1M,1,279000
20210507,107000596,Membership_1M,1,279000
20210507,107000534,Membership_6M,1,1600000
20210507,107000579,Membership_6M,1,1600000
20210507,101012427,Towel,1,55000
20210506,105001656,Lock,1,50000
20210506,101007937,Lock,2,50000
20210506,105000014,Lock,1,50000
20210506,105004015,Lock,1,50000
20210506,104005463,JoiningFee_1M,1,0
20210506,104005464,JoiningFee_1M,1,0
20210506,104005465,JoiningFee_1M,1,0
20210506,104005466,JoiningFee_1M,1,0
20210506,104005468,JoiningFee_1M,1,0
20210506,103002639,Membership_1M,1,279000
20210506,104000442,Membership_1M,1,279000
20210506,104001574,Membership_1M,1,279000
20210506,104001988,Membership_1M,1,279000
20210506,104002382,Membership_1M,1,279000
20210506,104002405,Membership_1M,1,279000
20210506,104002478,Membership_1M,1,279000
20210506,104003050,Membership_1M,1,279000
20210506,104003432,Membership_1M,1,279000
20210506,104003535,Membership_1M,1,279000
20210506,104004221,Membership_1M,1,279000
20210506,104004451,Membership_1M,1,279000
20210506,104004491,Membership_1M,1,279000
20210506,104004494,Membership_1M,1,279000
20210506,104004895,Membership_1M,1,279000
20210506,104005242,Membership_1M,1,279000
20210506,104005243,Membership_1M,1,279000
20210506,104005245,Membership_1M,1,279000
20210506,104005266,Membership_1M,1,279000
20210506,104005277,Membership_1M,1,279000
20210506,104005463,Membership_1M,1,279000
20210506,104005464,Membership_1M,1,279000
20210506,104005465,Membership_1M,1,279000
20210506,104005466,Membership_1M,1,279000
20210506,104005468,Membership_1M,1,279000
20210506,105001656,Membership_1M,1,279000
20210506,105003747,Membership_1M,1,279000
20210506,104004878,Membership_6M,1,1600000
20210506,104005450,Membership_6M,1,1600000
20210506,104005467,Membership_6M,1,1600000
20210506,104005470,Membership_6M,1,1600000
20210506,101012826,JoiningFee_1M,1,0
20210506,101000486,Membership_1M,1,279000
20210506,101003028,Membership_1M,1,279000
20210506,101003716,Membership_1M,1,279000
20210506,101006315,Membership_1M,1,279000
20210506,101007029,Membership_1M,1,279000
20210506,101008355,Membership_1M,1,279000
20210506,101009112,Membership_1M,1,279000
20210506,101010257,Membership_1M,1,279000
20210506,101010628,Membership_1M,1,279000
20210506,101010683,Membership_1M,1,279000
20210506,101011235,Membership_1M,1,279000
20210506,101011494,Membership_1M,1,279000
20210506,101011603,Membership_1M,1,279000
20210506,101011649,Membership_1M,1,279000
20210506,101012826,Membership_1M,1,279000
20210506,102003179,Membership_1M,1,279000
20210506,102003464,Membership_1M,1,279000
20210506,102004111,Membership_1M,1,279000
20210506,102005624,Membership_1M,1,279000
20210506,103000050,Membership_1M,1,279000
20210506,105003953,JoiningFee_1M,1,0
20210506,105004326,JoiningFee_1M,1,0
20210506,105004331,JoiningFee_1M,1,0
20210506,105004332,JoiningFee_1M,1,0
20210506,105004335,JoiningFee_1M,1,0
20210506,101009103,Membership_1M,1,279000
20210506,102002939,Membership_1M,1,279000
20210506,102003511,Membership_1M,1,279000
20210506,104002132,Membership_1M,1,279000
20210506,105001093,Membership_1M,1,279000
20210506,105001653,Membership_1M,1,279000
20210506,105002668,Membership_1M,1,279000
20210506,105003079,Membership_1M,1,279000
20210506,105003289,Membership_1M,1,279000
20210506,105003309,Membership_1M,1,279000
20210506,105003426,Membership_1M,1,279000
20210506,105003953,Membership_1M,1,279000
20210506,105004003,Membership_1M,1,279000
20210506,105004009,Membership_1M,1,279000
20210506,105004010,Membership_1M,1,279000
20210506,105004068,Membership_1M,1,279000
20210506,105004079,Membership_1M,1,279000
20210506,105004326,Membership_1M,1,279000
20210506,105004331,Membership_1M,1,279000
20210506,105004332,Membership_1M,1,279000
20210506,105004335,Membership_1M,1,279000
20210506,105001649,Membership_6M,1,1600000
20210506,105001650,Membership_6M,1,1600000
20210506,105004336,Membership_6M,1,1600000
20210506,105004337,Membership_6M,1,1600000
20210506,106001660,JoiningFee_1M,1,0
20210506,106001661,JoiningFee_1M,1,0
20210506,106001662,JoiningFee_1M,1,0
20210506,106001663,JoiningFee_1M,1,0
20210506,106001664,JoiningFee_1M,1,0
20210506,106001667,JoiningFee_1M,1,0
20210506,105002446,Membership_1M,1,279000
20210506,106000166,Membership_1M,1,279000
20210506,106000167,Membership_1M,1,279000
20210506,106000379,Membership_1M,1,279000
20210506,106000617,Membership_1M,1,279000
20210506,106000875,Membership_1M,1,279000
20210506,106001137,Membership_1M,1,279000
20210506,106001219,Membership_1M,1,279000
20210506,106001249,Membership_1M,1,279000
20210506,106001660,Membership_1M,1,279000
20210506,106001661,Membership_1M,1,279000
20210506,106001662,Membership_1M,1,279000
20210506,106001663,Membership_1M,1,279000
20210506,106001664,Membership_1M,1,279000
20210506,106001667,Membership_1M,1,279000
20210506,106001665,Membership_6M,1,1600000
20210506,106001666,Membership_6M,1,1600000
20210506,106001668,Membership_6M,1,1600000
20210506,106001669,Membership_6M,1,1600000
