User number,Recency,Frequency,Moneytary
101000281,0.16153846153846096,0.010256410256410256,0.2088
101000282,0.6230769230769226,0.002564102564102564,0.007971428571428572
101000283,0.18461538461538485,0.007692307692307693,0.015942857142857144
101000320,0.26923076923076916,0.0,0.023914285714285714
101000325,0.20000000000000018,0.0,0.04
101000340,0.6461538461538456,0.0,0.007971428571428572
101000353,0.8307692307692305,0.0,0.007971428571428572
101000373,0.8307692307692305,0.0,0.003985714285714286
101000391,0.18461538461538485,0.007692307692307693,0.015942857142857144
101000426,0.09999999999999964,0.0,0.04
101000442,0.20769230769230784,0.0,0.007971428571428572
101000486,0.06923076923076898,0.005128205128205129,0.011957142857142857
101000487,0.038461538461538325,0.0,0.04
101000503,0.2615384615384615,0.002564102564102564,0.03225714285714286
101000515,0.7307692307692308,0.0,0.007971428571428572
101000527,0.9384615384615387,0.002564102564102564,0.005414285714285714
101000551,0.03076923076923066,0.007692307692307693,0.02557142857142857
101000558,0.2384615384615385,0.0,0.007971428571428572
101000603,0.5076923076923077,0.012820512820512822,0.0131
101000609,0.007692307692307665,0.0,0.003985714285714286
101000610,0.16153846153846096,0.007692307692307693,0.015942857142857144
101000628,0.4153846153846148,0.0,0.024285714285714285
101000644,0.5769230769230766,0.0,0.030000000000000002
101000647,0.06923076923076898,0.005128205128205129,0.036242857142857146
101000649,0.592307692307692,0.0,0.003985714285714286
101000662,0.11538461538461497,0.0,0.007971428571428572
101000667,0.3923076923076918,0.0,0.024285714285714285
101000670,0.2999999999999998,0.002564102564102564,0.21714285714285714
101000675,0.24615384615384617,0.0,0.024285714285714285
101000685,0.12307692307692264,0.005128205128205129,0.015942857142857144
101000692,0.13846153846153797,0.007692307692307693,0.015942857142857144
101000716,0.2153846153846155,0.007692307692307693,0.015942857142857144
101000735,0.6538461538461533,0.002564102564102564,0.007971428571428572
101000747,0.11538461538461497,0.007692307692307693,0.015942857142857144
101000748,0.7000000000000002,0.002564102564102564,0.007971428571428572
